Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
2255,ANDHRA PRADESH,1967,81 TIRUVURU,2 B. SANJEEVI,M,null,null,CPM,15782
2256,ANDHRA PRADESH,1967,81 TIRUVURU,3 V. INAPANURU,M,null,null,CPI,9800
2257,ANDHRA PRADESH,1967,81 TIRUVURU,4 B.BIKSHAVATHI,M,null,null,IND,2447
2258,ANDHRA PRADESH,1967,81 TIRUVURU,5 K. RAMAYYA,M,null,null,IND,975
2259,ANDHRA PRADESH,1967,82 NUZVID,1 R. R. MEKA,M,null,null,INC,36468
2260,ANDHRA PRADESH,1967,82 NUZVID,2 M. R. TIRUVUR,M,null,null,IND,28294
2261,ANDHRA PRADESH,1967,83 GANNAVARAM,1 V. SEETARAMAYYA,M,null,null,INC,27656
2262,ANDHRA PRADESH,1967,83 GANNAVARAM,2 S. MANIKONDA,M,null,null,CPM,23727
2263,ANDHRA PRADESH,1967,84 VUYYUR,1 V. R. KADIYALA,M,null,null,IND,28295
2264,ANDHRA PRADESH,1967,84 VUYYUR,2 V. KAKANI,M,null,null,INC,26604
2265,ANDHRA PRADESH,1967,85 GUDIVADA,1 M. K. DEVI,F,null,null,INC,24854
2266,ANDHRA PRADESH,1967,85 GUDIVADA,2 V. S. R. PUTTAGUNTA,M,null,null,CPM,15851
2267,ANDHRA PRADESH,1967,85 GUDIVADA,3 A. SITARAMIAH,M,null,null,CPI,8231
2268,ANDHRA PRADESH,1967,85 GUDIVADA,4 A. V. V. RAO,M,null,null,IND,3173
2269,ANDHRA PRADESH,1967,85 GUDIVADA,5 P. V. RAO,M,null,null,BJS,2541
2270,ANDHRA PRADESH,1967,86 MUDINEPALLI,1 K. RAMANATHAM,M,null,null,IND,31503
2271,ANDHRA PRADESH,1967,86 MUDINEPALLI,2 B. HANUMANTARAO,M,null,null,INC,29078
2272,ANDHRA PRADESH,1967,86 MUDINEPALLI,3 K. V. SUBBARAO,M,null,null,IND,818
2273,ANDHRA PRADESH,1967,87 KAIKALUR,1 C. PANDURANGARAO,M,null,null,IND,28343
2274,ANDHRA PRADESH,1967,87 KAIKALUR,2 K. APPARAO,M,null,null,INC,26649
2275,ANDHRA PRADESH,1967,87 KAIKALUR,3 A. JEREMIAH,M,null,null,IND,2156
2276,ANDHRA PRADESH,1967,88 MAHESHWARAM,1 N. R. BURAGADDA,M,null,null,IND,31944
2277,ANDHRA PRADESH,1967,88 MAHESHWARAM,2 P. PINNENTI,M,null,null,INC,23754
2278,ANDHRA PRADESH,1967,88 MAHESHWARAM,3 V. MEHTA,M,null,null,CPI,6455
2279,ANDHRA PRADESH,1967,88 MAHESHWARAM,4 N. KATRAGADDA,M,null,null,BJS,1266
2280,ANDHRA PRADESH,1967,89 MACHILIPATNAM,1 L. R. PEDASINGU,M,null,null,INC,22620
2281,ANDHRA PRADESH,1967,89 MACHILIPATNAM,2 S. V. RAO,M,null,null,IND,19794
2282,ANDHRA PRADESH,1967,89 MACHILIPATNAM,3 V. CHILAKAMARRI,M,null,null,BJS,4102
2283,ANDHRA PRADESH,1967,90 NIDUMOLU,1 S. R. KANUMURI,M,null,null,INC,21104
2284,ANDHRA PRADESH,1967,90 NIDUMOLU,2 B. GUNTURU,M,null,null,CPM,20775
2285,ANDHRA PRADESH,1967,90 NIDUMOLU,3 D. R. KARUMURU,M,null,null,CPI,13526
2286,ANDHRA PRADESH,1967,91 AVANIGADDA,1 S. R. YARLAGADDA,M,null,null,INC,24318
2287,ANDHRA PRADESH,1967,91 AVANIGADDA,2 B. K. SANKA,M,null,null,CPM,15955
2288,ANDHRA PRADESH,1967,91 AVANIGADDA,3 V. BATCHU,M,null,null,IND,15418
2289,ANDHRA PRADESH,1967,91 AVANIGADDA,4 D. GARIKIPATI,M,null,null,CPI,2815
2290,ANDHRA PRADESH,1967,91 AVANIGADDA,5 V. B. BHOGADI,M,null,null,IND,1306
2291,ANDHRA PRADESH,1967,92 KUCHINAPUDI,1 B. ANAGANI,M,null,null,INC,29526
2292,ANDHRA PRADESH,1967,92 KUCHINAPUDI,2 S. EVURU,M,null,null,IND,19622
2293,ANDHRA PRADESH,1967,92 KUCHINAPUDI,3 R. NALLAPATI,M,null,null,IND,1820
2294,ANDHRA PRADESH,1967,92 KUCHINAPUDI,4 V. PARUCHURI,M,null,null,IND,1075
2295,ANDHRA PRADESH,1967,93 REPALLE,1 Y. CHENNAIAH,M,null,null,INC,26595
2296,ANDHRA PRADESH,1967,93 REPALLE,2 K. SATYANARAYANA,M,null,null,CPM,17551
2297,ANDHRA PRADESH,1967,93 REPALLE,3 V. BALARAMAIAH,M,null,null,CPI,2961
2298,ANDHRA PRADESH,1967,94 VEMURU,1 V. YADLAPATI,M,null,null,SWA,35130
2299,ANDHRA PRADESH,1967,94 VEMURU,2 V. NANNAPANENI,M,null,null,INC,30333
2300,ANDHRA PRADESH,1967,95 DUGGIRALA,1 A. RAMIREDDY,M,null,null,IND,22866
2301,ANDHRA PRADESH,1967,95 DUGGIRALA,2 B. GOPALAREDDY,M,null,null,INC,22185
2302,ANDHRA PRADESH,1967,95 DUGGIRALA,3 G. S. BASIVIREDDY,M,null,null,CPM,7807
2303,ANDHRA PRADESH,1967,95 DUGGIRALA,4 V. S. PRASAD,M,null,null,IND,2343
2304,ANDHRA PRADESH,1967,96 TENALI,1 I. DODDAPANENI,F,null,null,INC,44909
2305,ANDHRA PRADESH,1967,96 TENALI,2 S. CHINTAMANENI,M,null,null,IND,12574
2306,ANDHRA PRADESH,1967,96 TENALI,3 R. LAKKARAJU,M,null,null,BJS,3505
2307,ANDHRA PRADESH,1967,96 TENALI,4 V. AMIRINENI,M,null,null,IND,1677
2308,ANDHRA PRADESH,1967,97 PONNUR,1 A. P. PAMULAPATI,M,null,null,INC,32996
2309,ANDHRA PRADESH,1967,97 PONNUR,2 V. KOLLA,M,null,null,CPM,20821
2310,ANDHRA PRADESH,1967,97 PONNUR,3 K. BODDU,M,null,null,CPI,2073
2311,ANDHRA PRADESH,1967,97 PONNUR,4 K. PISAPATI,M,null,null,IND,849
2312,ANDHRA PRADESH,1967,98 BAPATLA,1 K. P. RAO,M,null,null,INC,32344
2313,ANDHRA PRADESH,1967,98 BAPATLA,1 K. P. RAO,M,null,null,INC,32344
2314,ANDHRA PRADESH,1967,98 BAPATLA,2 K. V. RAO,M,null,null,CPM,17117
2315,ANDHRA PRADESH,1967,98 BAPATLA,3 M. C. V. REDDY,M,null,null,CPI,4725
2316,ANDHRA PRADESH,1967,98 BAPATLA,4 K. V. V. RAJU,M,null,null,BJS,2965
2317,ANDHRA PRADESH,1967,99 CHIRALA,1 P. KOTAIAH,M,null,null,INC,25704
2318,ANDHRA PRADESH,1967,99 CHIRALA,2 K. ROSAIAH,M,null,null,IND,23138
2319,ANDHRA PRADESH,1967,99 CHIRALA,3 K. RAMULU,M,null,null,CPI,4990
2320,ANDHRA PRADESH,1967,99 CHIRALA,4 K. ANJANEYULU,M,null,null,BJS,793
2321,ANDHRA PRADESH,1967,99 CHIRALA,5 B. SINGAIAH,M,null,null,IND,455
2322,ANDHRA PRADESH,1967,100 PARCHUR,1 G. V. REDDY,M,null,null,INC,28446
2323,ANDHRA PRADESH,1967,100 PARCHUR,2 N. VENKATASWAMY,M,null,null,CPM,18019
2324,ANDHRA PRADESH,1967,100 PARCHUR,3 B. SUBBARAO,M,null,null,CPI,4089
2325,ANDHRA PRADESH,1967,101 ONGOLE,1 C. R. REDDY,M,null,null,INC,27503
2326,ANDHRA PRADESH,1967,101 ONGOLE,2 B. V. LAKSHMINARAYANA,M,null,null,IND,19491
2327,ANDHRA PRADESH,1967,101 ONGOLE,3 S. SINGAIAH,M,null,null,CPM,7927
2328,ANDHRA PRADESH,1967,101 ONGOLE,4 N. ADISESHAIAH,M,null,null,BJS,1815
2329,ANDHRA PRADESH,1967,102 SANTHANUTHALAPADU,1 V. C. K. RAO,M,null,null,INC,29478
2330,ANDHRA PRADESH,1967,102 SANTHANUTHALAPADU,2 T. CHENCHAIAH,M,null,null,CPM,19657
2331,ANDHRA PRADESH,1967,102 SANTHANUTHALAPADU,3 D. T. MOSES,M,null,null,CPI,4990
2332,ANDHRA PRADESH,1967,103 ADDANKI,1 P. DASARI,M,null,null,INC,27517
2333,ANDHRA PRADESH,1967,103 ADDANKI,2 V. NAGINENI,M,null,null,SWA,25449
2334,ANDHRA PRADESH,1967,103 ADDANKI,3 V. NATNANI,M,null,null,CPI,6923
2335,ANDHRA PRADESH,1967,104 CHILAKALURIPET,1 B. KANDIMALLA,M,null,null,SWA,29899
2336,ANDHRA PRADESH,1967,104 CHILAKALURIPET,2 V. NUTI,M,null,null,INC,29227
2337,ANDHRA PRADESH,1967,104 CHILAKALURIPET,3 N. KARNAM,M,null,null,CPI,4008
2338,ANDHRA PRADESH,1967,105 NARASARAOPET,1 B. R. KASU,M,null,null,INC,42179
2339,ANDHRA PRADESH,1967,105 NARASARAOPET,2 V. KOTNURI,M,null,null,SWA,28480
2340,ANDHRA PRADESH,1967,106 PRATHIPADU,1 M. C. NAGAIAH,M,null,null,SWA,26361
2341,ANDHRA PRADESH,1967,106 PRATHIPADU,2 E. C. R. REDDY,M,null,null,IND,23723
2342,ANDHRA PRADESH,1967,106 PRATHIPADU,3 C. R. CHOWDARY,M,null,null,INC,7743
